timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1314601308,0.08154483,-0.19353332,0.37773186
1314613026,0.086001985,-0.19659294,0.3510217
1314641303,0.069659084,-0.19965258,0.36882848
1314652885,0.084516264,-0.17823514,0.37476408
1314665280,0.07263052,-0.19047368,0.3599251
1314677114,0.07708768,-0.1920035,0.36882848
1314700768,0.07411624,-0.17823514,0.36882848
1314724837,0.07263052,-0.19047368,0.36734456
1314749434,0.071144804,-0.2011824,0.37179625
1314761591,0.07411624,-0.18435441,0.35250562
1314773011,0.071144804,-0.1920035,0.3658607
1314785634,0.060744777,-0.17211589,0.3658607
1314797360,0.083030544,-0.16905625,0.36882848
1314821142,0.0785734,-0.18435441,0.37624794
1314844865,0.0785734,-0.18435441,0.36882848
1314857524,0.07560195,-0.18588424,0.36882848
1314868776,0.06668765,-0.1920035,0.361409
