timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
2595623819,2595623674,0.054874856,0.0144516565,-0.03290156,0.55761075,0.0,0.0,0.0,-1.0
2595667850,2595667674,0.04348146,0.01162697,-0.029483702,0.55760777,0.0,0.0,0.0,-1.0
2595707857,2595707674,0.0455532,0.008206574,-0.03098226,0.557605,0.0,0.0,0.0,-1.0
2595751813,2595751674,0.04735179,0.005530623,-0.0430969,0.5576024,0.0,0.0,0.0,-1.0
2595791817,2595791674,0.033789065,0.0018699793,-0.04682387,0.5576001,0.0,0.0,0.0,-1.0
2595835860,2595835674,0.04052947,0.0061952528,-0.045048825,0.55759805,0.0,0.0,0.0,-1.0
2595875813,2595875674,0.045434218,0.0042651366,-0.039273065,0.55759627,0.0,0.0,0.0,-1.0
2595919806,2595919674,0.041973352,0.009311318,-0.045341905,0.5563147,0.0,0.0,0.0,-1.0
2595959816,2595959674,0.0364642,0.010557324,-0.045120317,0.55631804,0.0,0.0,0.0,-1.0
2596003813,2596003674,0.042758558,0.008051357,-0.045432728,0.55640316,0.0,0.0,0.0,-1.0
2596043813,2596043674,0.04689373,0.0053732237,-0.04681229,0.556325,0.0,0.0,0.0,-1.0
2596087810,2596087674,0.04777897,0.0054112654,-0.046935525,0.5563962,0.0,0.0,0.0,-1.0
2596127821,2596127674,0.052019857,0.0022606247,-0.047903933,0.55639285,0.0,0.0,0.0,-1.0
2596171809,2596171674,0.057094056,-0.000633714,-0.05642973,0.5563895,0.0,0.0,0.0,-1.0
2596215824,2596215676,0.049000587,-0.0025040526,-0.047209643,0.55633813,0.0,0.0,0.0,-1.0
2596255812,2596255674,0.039996006,-0.0032880676,-0.046799425,0.5563834,0.0,0.0,0.0,-1.0
2596299899,2596299716,0.042803902,-0.0037014752,-0.04025433,0.5391927,0.0,0.0,0.0,-1.0
2596341496,2596341274,0.04355553,-0.009470427,-0.039628252,0.53790987,0.0,0.0,0.0,-1.0
2596381524,2596381274,0.041071735,-0.007314496,-0.042426124,0.5379117,0.0,0.0,0.0,-1.0
2596425476,2596425275,0.04063724,-0.002756168,-0.034564003,0.53791356,0.0,0.0,0.0,-1.0
2596469482,2596469274,0.04304248,-0.0012858561,-0.02780595,0.5379153,0.0,0.0,0.0,-1.0
2596513417,2596513274,0.041496553,0.004158421,-0.017553031,0.5379169,0.0,0.0,0.0,-1.0
